t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 3 	 16.05998 	 0.3329669 	 0 	 0 	 102 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 4 	 12.1796 	 -0.5953334 	 0 	 0 	 105 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 14 	 10.39054 	 0.1434228 	 0 	 0 	 156 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 26 	 12.16482 	 0.1480687 	 0 	 0 	 103 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 37 	 14.71331 	 0.4247635 	 0 	 0 	 114 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 40 	 11.71407 	 0.03412997 	 0 	 0 	 79 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 47 	 14.41418 	 -0.5516847 	 0 	 0 	 174 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 48 	 12.18882 	 -0.02316309 	 0 	 0 	 169 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 51 	 13.90265 	 0.09575459 	 0 	 0 	 135 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 56 	 12.04376 	 -1.165648 	 0 	 0 	 156 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 60 	 12.8169 	 -0.3205453 	 0 	 0 	 98 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 65 	 10.71306 	 -0.5324687 	 0 	 0 	 126 	 F 	 1 	 1 	 NA 	 NA 	 1
 1 	 66 	 14.75271 	 0.4412889 	 0 	 0 	 173 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 70 	 10.0249 	 -0.4760621 	 0 	 0 	 28 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 71 	 12.17175 	 0.1606145 	 0 	 0 	 168 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 72 	 10.59652 	 0.7975296 	 0 	 0 	 107 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 73 	 8.194311 	 -0.651556 	 0 	 0 	 29 	 F 	 4 	 1 	 NA 	 NA 	 1
 1 	 80 	 7.420014 	 -0.3588478 	 0 	 0 	 57 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 84 	 12.86669 	 0.2824309 	 0 	 0 	 34 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 86 	 11.16289 	 0.2735919 	 0 	 0 	 55 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 95 	 16.14096 	 0.5324016 	 0 	 0 	 75 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 98 	 12.93161 	 -0.5823658 	 0 	 0 	 128 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 99 	 16.56119 	 0.6465379 	 0 	 0 	 162 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 101 	 10.53657 	 0.7373486 	 0 	 0 	 0 	 F 	 0 	 0 	 65 	 66 	 1
 1 	 102 	 11.11229 	 -0.05650771 	 0 	 0 	 0 	 M 	 0 	 0 	 73 	 95 	 1
 1 	 103 	 11.78256 	 0.4130857 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 95 	 1
 1 	 104 	 11.37942 	 0.4381458 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 95 	 1
 1 	 105 	 11.29016 	 -0.2825237 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 95 	 1
 1 	 106 	 11.46 	 -0.2512398 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 107 	 11.08085 	 -0.2073924 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 108 	 12.31949 	 -0.3645582 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 109 	 11.20799 	 0.08724009 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 110 	 12.22595 	 -0.1478813 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 111 	 11.0222 	 -0.2882611 	 0 	 0 	 0 	 M 	 0 	 0 	 86 	 48 	 1
 1 	 1 	 8.366507 	 -0.3682007 	 0 	 0 	 35 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 2 	 8.799976 	 -0.1963124 	 0 	 0 	 137 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 5 	 10.45782 	 -0.1812414 	 0 	 0 	 124 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 6 	 12.69879 	 0.8795789 	 0 	 0 	 182 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 7 	 10.71613 	 0.7115815 	 0 	 0 	 67 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 8 	 8.510798 	 -0.5732995 	 0 	 0 	 176 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 9 	 7.555241 	 -0.5723828 	 0 	 0 	 10 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 10 	 9.72031 	 0.0719922 	 0 	 0 	 176 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 11 	 9.476478 	 0.5380806 	 0 	 0 	 133 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 12 	 10.91444 	 -0.2291562 	 0 	 0 	 87 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 13 	 7.754427 	 -0.04553091 	 0 	 0 	 179 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 15 	 9.770789 	 -0.2088263 	 0 	 0 	 159 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 16 	 10.50729 	 0.01344165 	 0 	 0 	 20 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 17 	 9.10912 	 0.3245741 	 0 	 0 	 62 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 18 	 9.941534 	 0.8483121 	 0 	 0 	 29 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 19 	 10.35305 	 0.2386906 	 0 	 0 	 12 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 20 	 9.628765 	 -0.1328768 	 0 	 0 	 179 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 21 	 10.24698 	 -0.723959 	 0 	 0 	 25 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 22 	 10.31035 	 0.1431202 	 0 	 0 	 24 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 23 	 9.009134 	 -0.05048455 	 0 	 0 	 171 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 24 	 9.8838 	 -0.004705325 	 0 	 0 	 32 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 25 	 12.37307 	 0.1671557 	 0 	 0 	 27 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 27 	 12.13362 	 0.2913165 	 0 	 0 	 46 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 28 	 8.915519 	 -0.5494363 	 0 	 0 	 30 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 29 	 10.36758 	 0.2387545 	 0 	 0 	 36 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 30 	 10.05651 	 -0.1467047 	 0 	 0 	 36 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 31 	 8.119374 	 -0.2133286 	 0 	 0 	 134 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 32 	 11.30684 	 0.3603348 	 0 	 0 	 82 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 33 	 8.982554 	 0.06564988 	 0 	 0 	 29 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 34 	 9.916718 	 0.9361863 	 0 	 0 	 91 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 35 	 8.701106 	 0.004814862 	 0 	 0 	 177 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 36 	 9.270716 	 -0.4734991 	 0 	 0 	 12 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 38 	 10.5962 	 -0.2171872 	 0 	 0 	 31 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 39 	 10.49432 	 -0.3270736 	 0 	 0 	 3 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 41 	 11.62571 	 -0.8528257 	 0 	 0 	 160 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 42 	 10.45362 	 -0.3564275 	 0 	 0 	 20 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 43 	 9.506555 	 -0.5248323 	 0 	 0 	 174 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 44 	 9.068866 	 0.1879206 	 0 	 0 	 160 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 45 	 10.80441 	 -0.1754709 	 0 	 0 	 144 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 46 	 7.669426 	 -0.573079 	 0 	 0 	 55 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 49 	 9.346145 	 -0.5477163 	 0 	 0 	 26 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 50 	 10.07181 	 0.03423701 	 0 	 0 	 3 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 52 	 10.49402 	 -0.01402707 	 0 	 0 	 95 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 53 	 9.108267 	 -0.4104117 	 0 	 0 	 106 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 54 	 9.343869 	 0.0260174 	 0 	 0 	 51 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 55 	 11.62775 	 0.2926243 	 0 	 0 	 161 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 57 	 7.619029 	 -1.248013 	 0 	 0 	 89 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 58 	 9.054456 	 -0.1713828 	 0 	 0 	 111 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 59 	 9.610568 	 -0.9648531 	 0 	 0 	 16 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 61 	 10.16212 	 -0.698658 	 0 	 0 	 181 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 62 	 11.42294 	 0.4774666 	 0 	 0 	 55 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 63 	 10.66608 	 0.1462358 	 0 	 0 	 5 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 64 	 10.21029 	 0.1932207 	 0 	 0 	 21 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 67 	 10.75448 	 0.05410541 	 0 	 0 	 36 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 68 	 10.0136 	 -0.1059822 	 0 	 0 	 147 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 69 	 9.333716 	 -0.5551445 	 0 	 0 	 159 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 74 	 10.06856 	 0.4756993 	 0 	 0 	 170 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 75 	 9.986384 	 -0.8059948 	 0 	 0 	 78 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 76 	 9.860778 	 -0.5230146 	 0 	 0 	 61 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 77 	 8.147282 	 -0.2112459 	 0 	 0 	 3 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 78 	 11.08016 	 0.03538649 	 0 	 0 	 95 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 79 	 11.02874 	 0.6973648 	 0 	 0 	 32 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 81 	 11.32381 	 0.257472 	 0 	 0 	 48 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 82 	 11.48331 	 -0.2223811 	 0 	 0 	 136 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 83 	 9.348293 	 -0.1857186 	 0 	 0 	 150 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 85 	 9.685818 	 -0.06008784 	 0 	 0 	 7 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 87 	 9.027679 	 -0.5022907 	 0 	 0 	 182 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 88 	 10.52337 	 0.263854 	 0 	 0 	 14 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 89 	 8.919727 	 -0.1796385 	 0 	 0 	 86 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 90 	 9.652655 	 0.2477996 	 0 	 0 	 25 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 91 	 8.867144 	 -0.6948784 	 0 	 0 	 39 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 92 	 10.39949 	 -0.336381 	 0 	 0 	 175 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 93 	 10.15191 	 0.3191115 	 0 	 0 	 30 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 94 	 11.77119 	 0.2496968 	 0 	 0 	 0 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 96 	 9.214578 	 0.3647233 	 0 	 0 	 21 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 97 	 10.10293 	 -0.7216717 	 0 	 0 	 123 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 100 	 8.155668 	 -0.6156316 	 0 	 0 	 83 	 F 	 0 	 0 	 NA 	 NA 	 0
 2 	 14 	 12.88156 	 0.1434228 	 0 	 0 	 70 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 26 	 14.8816 	 0.1480687 	 0 	 0 	 517 	 F 	 0 	 2 	 NA 	 NA 	 1
 2 	 37 	 15.21211 	 0.4247635 	 0 	 0 	 311 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 48 	 14.2028 	 -0.02316309 	 0 	 0 	 485 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 51 	 15.72847 	 0.09575459 	 0 	 0 	 599 	 F 	 12 	 2 	 NA 	 NA 	 1
 2 	 56 	 13.43866 	 -1.165648 	 0 	 0 	 435 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 60 	 15.34641 	 -0.3205453 	 0 	 0 	 513 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 66 	 18.27749 	 0.4412889 	 0 	 0 	 560 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 70 	 10.69144 	 -0.4760621 	 0 	 0 	 547 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 71 	 14.88867 	 0.1606145 	 0 	 0 	 180 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 73 	 8.756417 	 -0.651556 	 0 	 0 	 192 	 F 	 6 	 2 	 NA 	 NA 	 1
 2 	 95 	 19.51252 	 0.5324016 	 0 	 0 	 81 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 99 	 16.92375 	 0.6465379 	 0 	 0 	 399 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 102 	 15.90726 	 -0.05650771 	 0 	 0 	 138 	 M 	 0 	 1 	 73 	 95 	 1
 2 	 103 	 12.61793 	 0.4130857 	 0 	 0 	 37 	 F 	 7 	 1 	 73 	 95 	 1
 2 	 104 	 12.76199 	 0.4381458 	 0 	 0 	 618 	 F 	 0 	 1 	 73 	 95 	 1
 2 	 105 	 15.17333 	 -0.2825237 	 0 	 0 	 176 	 F 	 7 	 1 	 73 	 95 	 1
 2 	 108 	 16.07827 	 -0.3645582 	 0 	 0 	 79 	 M 	 0 	 1 	 86 	 48 	 1
 2 	 109 	 14.5577 	 0.08724009 	 0 	 0 	 296 	 M 	 0 	 1 	 86 	 48 	 1
 2 	 110 	 14.20975 	 -0.1478813 	 0 	 0 	 667 	 M 	 0 	 1 	 86 	 48 	 1
 2 	 111 	 12.32532 	 -0.2882611 	 0 	 0 	 63 	 M 	 0 	 1 	 86 	 48 	 1
 2 	 112 	 12.98155 	 0.5847754 	 0 	 0 	 0 	 M 	 0 	 0 	 51 	 95 	 1
 2 	 113 	 10.71863 	 0.3156062 	 0 	 0 	 0 	 M 	 0 	 0 	 51 	 95 	 1
 2 	 114 	 11.98275 	 0.4748664 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 115 	 11.57554 	 -0.09792979 	 0 	 0 	 0 	 M 	 0 	 0 	 51 	 95 	 1
 2 	 116 	 11.08825 	 0.3952065 	 0 	 0 	 0 	 M 	 0 	 0 	 51 	 95 	 1
 2 	 117 	 12.35886 	 0.2531052 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 118 	 11.8371 	 0.2432221 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 119 	 11.75158 	 0.3778186 	 0 	 0 	 0 	 M 	 0 	 0 	 51 	 95 	 1
 2 	 120 	 12.60675 	 0.4077614 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 121 	 11.75547 	 0.7185184 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 122 	 10.67954 	 0.1105445 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 123 	 12.55951 	 0.002360136 	 0 	 0 	 0 	 F 	 0 	 0 	 51 	 95 	 1
 2 	 124 	 10.91976 	 -0.3881605 	 0 	 0 	 0 	 M 	 0 	 0 	 73 	 70 	 1
 2 	 125 	 10.57031 	 -0.591303 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 70 	 1
 2 	 126 	 11.51795 	 -0.5998846 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 70 	 1
 2 	 127 	 11.32615 	 -0.05550121 	 0 	 0 	 0 	 M 	 0 	 0 	 73 	 70 	 1
 2 	 128 	 11.88049 	 -0.7710768 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 70 	 1
 2 	 129 	 10.74899 	 -0.5877957 	 0 	 0 	 0 	 F 	 0 	 0 	 73 	 70 	 1
 2 	 130 	 11.70735 	 0.4007475 	 0 	 0 	 0 	 M 	 0 	 0 	 103 	 99 	 1
 2 	 131 	 10.8805 	 0.270012 	 0 	 0 	 0 	 F 	 0 	 0 	 103 	 99 	 1
 2 	 132 	 12.69093 	 0.6030223 	 0 	 0 	 0 	 F 	 0 	 0 	 103 	 99 	 1
 2 	 133 	 11.52286 	 0.1267285 	 0 	 0 	 0 	 F 	 0 	 0 	 103 	 99 	 1
 2 	 134 	 12.22222 	 0.4612141 	 0 	 0 	 0 	 F 	 0 	 0 	 103 	 99 	 1
 2 	 135 	 12.53688 	 -0.2127231 	 0 	 0 	 0 	 F 	 0 	 0 	 103 	 99 	 1
 2 	 136 	 10.25746 	 0.1580438 	 0 	 0 	 0 	 M 	 0 	 0 	 103 	 99 	 1
 2 	 137 	 10.40707 	 -0.005944668 	 0 	 0 	 0 	 F 	 0 	 0 	 105 	 71 	 1
 2 	 138 	 9.491525 	 -0.6033275 	 0 	 0 	 0 	 F 	 0 	 0 	 105 	 71 	 1
 2 	 139 	 10.4974 	 -0.2498451 	 0 	 0 	 0 	 M 	 0 	 0 	 105 	 71 	 1
 2 	 140 	 13.14692 	 0.02375468 	 0 	 0 	 0 	 F 	 0 	 0 	 105 	 71 	 1
 2 	 141 	 10.6588 	 -0.1937718 	 0 	 0 	 0 	 F 	 0 	 0 	 105 	 71 	 1
 2 	 142 	 11.32258 	 -0.7498238 	 0 	 0 	 0 	 M 	 0 	 0 	 105 	 71 	 1
 2 	 143 	 10.17008 	 -0.7184384 	 0 	 0 	 0 	 F 	 0 	 0 	 105 	 71 	 1
 2 	 3 	 16.05998 	 0.3329669 	 0 	 0 	 644 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 4 	 12.1796 	 -0.5953334 	 0 	 0 	 632 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 40 	 11.71407 	 0.03412997 	 0 	 0 	 420 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 47 	 14.41418 	 -0.5516847 	 0 	 0 	 369 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 65 	 10.71306 	 -0.5324687 	 0 	 0 	 290 	 F 	 1 	 1 	 NA 	 NA 	 0
 2 	 72 	 10.59652 	 0.7975296 	 0 	 0 	 101 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 80 	 7.420014 	 -0.3588478 	 0 	 0 	 61 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 84 	 12.86669 	 0.2824309 	 0 	 0 	 37 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 86 	 11.16289 	 0.2735919 	 0 	 0 	 17 	 F 	 6 	 1 	 NA 	 NA 	 0
 2 	 98 	 12.93161 	 -0.5823658 	 0 	 0 	 669 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 101 	 10.53657 	 0.7373486 	 0 	 0 	 178 	 F 	 0 	 0 	 65 	 66 	 0
 2 	 106 	 11.46 	 -0.2512398 	 0 	 0 	 3 	 M 	 0 	 0 	 86 	 48 	 0
 2 	 107 	 11.08085 	 -0.2073924 	 0 	 0 	 271 	 M 	 0 	 0 	 86 	 48 	 0
 3 	 14 	 14.93163 	 0.1434228 	 0 	 0 	 55 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 26 	 14.9044 	 0.1480687 	 0 	 0 	 85 	 F 	 0 	 3 	 NA 	 NA 	 1
 3 	 48 	 16.11866 	 -0.02316309 	 0 	 0 	 133 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 56 	 13.42943 	 -1.165648 	 0 	 0 	 154 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 60 	 15.82551 	 -0.3205453 	 0 	 0 	 164 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 66 	 20.03536 	 0.4412889 	 0 	 0 	 110 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 70 	 12.36429 	 -0.4760621 	 0 	 0 	 85 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 71 	 15.56381 	 0.1606145 	 0 	 0 	 155 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 73 	 9.154908 	 -0.651556 	 0 	 0 	 176 	 F 	 4 	 3 	 NA 	 NA 	 1
 3 	 95 	 21.84598 	 0.5324016 	 0 	 0 	 170 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 99 	 17.41172 	 0.6465379 	 0 	 0 	 50 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 102 	 15.78998 	 -0.05650771 	 0 	 0 	 110 	 M 	 0 	 2 	 73 	 95 	 1
 3 	 104 	 13.86009 	 0.4381458 	 0 	 0 	 128 	 F 	 3 	 2 	 73 	 95 	 1
 3 	 108 	 18.04559 	 -0.3645582 	 0 	 0 	 184 	 M 	 0 	 2 	 86 	 48 	 1
 3 	 110 	 16.08978 	 -0.1478813 	 0 	 0 	 174 	 M 	 0 	 2 	 86 	 48 	 1
 3 	 113 	 14.39707 	 0.3156062 	 0 	 0 	 98 	 M 	 0 	 1 	 51 	 95 	 1
 3 	 114 	 16.56642 	 0.4748664 	 0 	 0 	 184 	 F 	 0 	 1 	 51 	 95 	 1
 3 	 115 	 14.13419 	 -0.09792979 	 0 	 0 	 184 	 M 	 0 	 1 	 51 	 95 	 1
 3 	 118 	 15.88013 	 0.2432221 	 0 	 0 	 39 	 F 	 12 	 1 	 51 	 95 	 1
 3 	 123 	 16.24287 	 0.002360136 	 0 	 0 	 94 	 F 	 12 	 1 	 51 	 95 	 1
 3 	 124 	 12.25589 	 -0.3881605 	 0 	 0 	 59 	 M 	 0 	 1 	 73 	 70 	 1
 3 	 128 	 16.39702 	 -0.7710768 	 0 	 0 	 79 	 F 	 10 	 1 	 73 	 70 	 1
 3 	 130 	 14.16453 	 0.4007475 	 0 	 0 	 87 	 M 	 0 	 1 	 103 	 99 	 1
