t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 1 	 11.07869 	 -0.1595853 	 -0.2680799 	 -0.2680799 	 970 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 2 	 14.57533 	 -0.2011297 	 -0.164914 	 -0.164914 	 1007 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 3 	 14.05475 	 0.1921453 	 -0.4999597 	 -0.4999597 	 887 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 8 	 14.58263 	 0.6236186 	 0.4436443 	 0.4436443 	 1224 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 11 	 13.07895 	 0.2866284 	 -0.8984252 	 -0.8984252 	 745 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 12 	 15.74966 	 0.4234632 	 0.03930209 	 0.03930209 	 1080 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 16 	 15.87206 	 0.007507079 	 -0.08670622 	 -0.08670622 	 1035 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 22 	 10.21309 	 -0.9035843 	 0.7955954 	 0.7955954 	 1349 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 24 	 16.66084 	 -0.2506231 	 0.1408001 	 0.1408001 	 1116 	 F 	 14 	 1 	 NA 	 NA 	 1
 1 	 26 	 12.03604 	 -0.9236077 	 0.1963695 	 0.1963695 	 1136 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 35 	 9.290652 	 -0.3613023 	 0.1362074 	 0.1362074 	 1114 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 36 	 12.70746 	 -0.1504994 	 0.7368471 	 0.7368471 	 1329 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 38 	 14.94295 	 -0.1446191 	 -0.154004 	 -0.154004 	 1011 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 39 	 13.31857 	 0.2713158 	 -0.3517362 	 -0.3517362 	 940 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 44 	 12.41682 	 -0.4239991 	 -0.4980476 	 -0.4980476 	 888 	 F 	 5 	 1 	 NA 	 NA 	 1
 1 	 45 	 13.13116 	 0.260772 	 -0.8015405 	 -0.8015405 	 780 	 M 	 0 	 1 	 NA 	 NA 	 1
