t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 2 	 16.62406 	 0.1902758 	 0 	 0 	 61 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 8 	 1.413825 	 -0.22122 	 0 	 0 	 58 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 10 	 29.89234 	 0.2588411 	 0 	 0 	 64 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 13 	 27.15874 	 0.03299108 	 0 	 0 	 45 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 22 	 19.44525 	 0.6324405 	 0 	 0 	 61 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 30 	 16.19527 	 0.2024812 	 0 	 0 	 42 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 39 	 47.19349 	 0.06090994 	 0 	 0 	 48 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 45 	 7.382668 	 0.6560855 	 0 	 0 	 21 	 F 	 7 	 1 	 NA 	 NA 	 1
 1 	 63 	 2.849522 	 -0.1345052 	 0 	 0 	 65 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 67 	 18.36123 	 0.1096361 	 0 	 0 	 11 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 72 	 25.92392 	 0.1437904 	 0 	 0 	 61 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 76 	 25.62502 	 0.3977141 	 0 	 0 	 53 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 79 	 33.29617 	 -0.3804279 	 0 	 0 	 65 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 81 	 2.390373 	 -0.1533787 	 0 	 0 	 51 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 83 	 16.29927 	 -0.8702387 	 0 	 0 	 25 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 85 	 27.379 	 1.022407 	 0 	 0 	 64 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 87 	 1.425964 	 0.2269508 	 0 	 0 	 44 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 101 	 14.09865 	 0.9719087 	 0 	 0 	 0 	 F 	 0 	 0 	 45 	 85 	 1
 1 	 102 	 6.146529 	 0.8477379 	 0 	 0 	 0 	 F 	 0 	 0 	 45 	 85 	 1
 1 	 103 	 6.478965 	 0.6781574 	 0 	 0 	 0 	 F 	 0 	 0 	 45 	 85 	 1
 1 	 104 	 15.3575 	 0.6543617 	 0 	 0 	 0 	 F 	 0 	 0 	 45 	 85 	 1
 1 	 105 	 22.9032 	 0.3812104 	 0 	 0 	 0 	 M 	 0 	 0 	 45 	 85 	 1
 1 	 106 	 14.87247 	 0.7733464 	 0 	 0 	 0 	 M 	 0 	 0 	 45 	 85 	 1
 1 	 107 	 13.05983 	 1.052401 	 0 	 0 	 0 	 M 	 0 	 0 	 45 	 85 	 1
 1 	 1 	 13.1725 	 -0.3031285 	 0 	 0 	 61 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 3 	 14.47238 	 1.234742 	 0 	 0 	 16 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 4 	 1.666681 	 -0.7876663 	 0 	 0 	 59 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 5 	 9.1325 	 -0.3723193 	 0 	 0 	 8 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 6 	 26.17663 	 0.1622436 	 0 	 0 	 40 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 7 	 13.78558 	 -0.4548895 	 0 	 0 	 20 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 9 	 11.51588 	 -0.3491288 	 0 	 0 	 20 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 11 	 23.66023 	 -0.8864794 	 0 	 0 	 60 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 12 	 17.37075 	 -0.8589824 	 0 	 0 	 34 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 14 	 10.78922 	 -0.3597737 	 0 	 0 	 36 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 15 	 21.51308 	 -0.3336934 	 0 	 0 	 23 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 16 	 19.89815 	 -0.1626544 	 0 	 0 	 37 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 17 	 5.311952 	 -0.9803568 	 0 	 0 	 49 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 18 	 4.217288 	 -0.3679077 	 0 	 0 	 20 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 19 	 28.93258 	 0.2406891 	 0 	 0 	 18 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 20 	 6.968445 	 0.1980635 	 0 	 0 	 6 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 21 	 3.024091 	 0.172256 	 0 	 0 	 34 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 23 	 3.340692 	 0.5894038 	 0 	 0 	 58 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 24 	 0.8578959 	 -0.4454609 	 0 	 0 	 3 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 25 	 12.03502 	 0.03778374 	 0 	 0 	 36 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 26 	 6.022327 	 -0.01669825 	 0 	 0 	 46 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 27 	 11.10533 	 0.685062 	 0 	 0 	 55 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 28 	 2.781259 	 -0.6955904 	 0 	 0 	 4 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 29 	 5.82772 	 -1.035757 	 0 	 0 	 5 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 31 	 11.62766 	 -0.716599 	 0 	 0 	 6 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 32 	 15.5909 	 0.5099232 	 0 	 0 	 46 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 33 	 14.64177 	 -0.05489534 	 0 	 0 	 35 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 34 	 8.016607 	 0.6853454 	 0 	 0 	 46 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 35 	 2.076957 	 1.146563 	 0 	 0 	 55 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 36 	 21.08489 	 0.3757223 	 0 	 0 	 57 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 37 	 17.74319 	 -0.3264279 	 0 	 0 	 31 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 38 	 21.61629 	 -0.4128057 	 0 	 0 	 15 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 40 	 7.354743 	 0.4441839 	 0 	 0 	 23 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 41 	 4.943098 	 -0.07676607 	 0 	 0 	 46 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 42 	 21.88871 	 0.4552139 	 0 	 0 	 33 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 43 	 25.10903 	 0.193764 	 0 	 0 	 50 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 44 	 20.42013 	 -0.09956103 	 0 	 0 	 36 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 46 	 2.991332 	 -0.2848285 	 0 	 0 	 44 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 47 	 9.482987 	 -0.5297706 	 0 	 0 	 22 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 48 	 8.842165 	 0.3084428 	 0 	 0 	 25 	 F 	 0 	 0 	 NA 	 NA 	 0
