t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 1 	 12.27496 	 0.1046419 	 0.09003505 	 0.09003505 	 1052 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 2 	 15.07189 	 -0.06715594 	 -0.05337273 	 -0.05337273 	 979 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 7 	 11.80702 	 -0.352307 	 0.2911353 	 0.2911353 	 1154 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 8 	 13.84085 	 0.4470869 	 -0.126135 	 -0.126135 	 943 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 10 	 10.6608 	 -0.01874111 	 -0.1225436 	 -0.1225436 	 944 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 12 	 12.18253 	 -0.006932462 	 0.3148304 	 0.3148304 	 1166 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 14 	 12.22607 	 -0.08236945 	 0.449817 	 0.449817 	 1234 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 19 	 11.8294 	 -0.9394289 	 -0.1230065 	 -0.1230065 	 944 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 21 	 10.97904 	 -0.4621679 	 0.2156748 	 0.2156748 	 1115 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 25 	 10.49925 	 0.3296563 	 -0.6416092 	 -0.6416092 	 682 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 29 	 12.47299 	 -0.5353049 	 0.1380114 	 0.1380114 	 1076 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 30 	 11.70797 	 -0.03987903 	 0.1128355 	 0.1128355 	 1063 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 32 	 10.07402 	 -0.5930956 	 -0.4759809 	 -0.4759809 	 766 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 34 	 10.79085 	 -0.7418316 	 0.06227617 	 0.06227617 	 1038 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 36 	 11.53793 	 -0.5847159 	 -0.6392598 	 -0.6392598 	 683 	 F 	 6 	 1 	 NA 	 NA 	 1
 1 	 37 	 14.03439 	 0.17063 	 -0.1715773 	 -0.1715773 	 920 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 39 	 14.4036 	 -0.7475224 	 0.2306806 	 0.2306806 	 1123 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 40 	 8.593279 	 -0.4991229 	 -0.3189863 	 -0.3189863 	 845 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 44 	 10.77633 	 -0.02458694 	 0.3019179 	 0.3019179 	 1159 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 48 	 17.62192 	 -0.2782657 	 0.09447739 	 0.09447739 	 1054 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 49 	 11.27528 	 0.8244247 	 0.4630638 	 0.4630638 	 1240 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 53 	 13.15649 	 0.588885 	 -0.4576745 	 -0.4576745 	 775 	 F 	 7 	 1 	 NA 	 NA 	 1
 1 	 54 	 12.90005 	 -0.3242185 	 0.230348 	 0.230348 	 1123 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 55 	 10.24678 	 0.3273357 	 -0.6201576 	 -0.6201576 	 693 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 61 	 11.79723 	 -0.5335948 	 -0.005728113 	 -0.005728113 	 1003 	 F 	 3 	 1 	 NA 	 NA 	 1
 1 	 64 	 13.73996 	 -0.7128635 	 -0.4823749 	 -0.4823749 	 763 	 F 	 4 	 1 	 NA 	 NA 	 1
 1 	 65 	 10.03181 	 -0.04788926 	 -0.4311798 	 -0.4311798 	 788 	 F 	 9 	 1 	 NA 	 NA 	 1
 1 	 67 	 10.65859 	 0.1394462 	 0.344951 	 0.344951 	 1181 	 F 	 0 	 1 	 NA 	 NA 	 1
