t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 1 	 8.966516 	 -0.4426535 	 -0.2575329 	 -0.2575329 	 111 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 2 	 9.909242 	 0.8945415 	 -0.05201417 	 -0.05201417 	 115 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 5 	 10.96525 	 -0.5491955 	 0.273788 	 0.273788 	 147 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 8 	 11.82869 	 0.5856651 	 0.3605978 	 0.3605978 	 112 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 9 	 11.09844 	 0.7968219 	 0.9033789 	 0.9033789 	 144 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 10 	 10.11021 	 -0.007858813 	 0.4918947 	 0.4918947 	 139 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 12 	 8.959722 	 -0.5150228 	 0.9468368 	 0.9468368 	 199 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 15 	 10.07969 	 -0.1694412 	 -0.6731624 	 -0.6731624 	 86 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 17 	 10.54696 	 0.0841954 	 -0.2293684 	 -0.2293684 	 100 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 18 	 11.32591 	 -0.5008335 	 0.1654612 	 0.1654612 	 122 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 19 	 12.37167 	 0.6006835 	 0.3260775 	 0.3260775 	 127 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 21 	 13.25711 	 1.040085 	 1.251261 	 1.251261 	 222 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 23 	 11.51356 	 -0.08375261 	 0.4570484 	 0.4570484 	 141 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 25 	 12.39508 	 0.7610972 	 0.6108763 	 0.6108763 	 150 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 27 	 10.10945 	 0.01152412 	 -1.091165 	 -1.091165 	 74 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 28 	 9.629717 	 -0.5122404 	 0.7379593 	 0.7379593 	 156 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 3 	 9.914442 	 -0.02196143 	 -1.006395 	 -1.006395 	 69 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 4 	 8.131627 	 -0.4872516 	 -0.2968738 	 -0.2968738 	 122 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 6 	 11.37773 	 0.8302331 	 0.6137244 	 0.6137244 	 142 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 7 	 9.229641 	 0.4924052 	 -1.381063 	 -1.381063 	 46 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 11 	 10.26325 	 -0.3658012 	 0.09841434 	 0.09841434 	 115 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 13 	 10.25675 	 0.5225608 	 -0.01342111 	 -0.01342111 	 126 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 14 	 9.447276 	 0.8103233 	 0.6514707 	 0.6514707 	 146 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 16 	 10.70819 	 0.8562502 	 0.8214226 	 0.8214226 	 150 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 20 	 9.321593 	 -0.3542839 	 0.08150044 	 0.08150044 	 132 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 22 	 9.317293 	 1.362329 	 -1.219613 	 -1.219613 	 58 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 24 	 10.78713 	 0.5882434 	 -0.5591909 	 -0.5591909 	 77 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 26 	 12.187 	 0.8182594 	 0.268519 	 0.268519 	 133 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 29 	 11.29862 	 0.5592995 	 0.109098 	 0.109098 	 113 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 30 	 9.61367 	 0.5558366 	 -0.1554769 	 -0.1554769 	 96 	 F 	 0 	 0 	 NA 	 NA 	 0
 2 	 1 	 9.284163 	 -0.4426535 	 -0.2575329 	 -0.2575329 	 183 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 2 	 10.04832 	 0.8945415 	 -0.05201417 	 -0.05201417 	 231 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 5 	 10.9127 	 -0.5491955 	 0.273788 	 0.273788 	 247 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 9 	 11.07656 	 0.7968219 	 0.9033789 	 0.9033789 	 320 	 F 	 0 	 2 	 NA 	 NA 	 1
 2 	 10 	 10.16258 	 -0.007858813 	 0.4918947 	 0.4918947 	 287 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 17 	 10.60951 	 0.0841954 	 -0.2293684 	 -0.2293684 	 197 	 M 	 0 	 2 	 NA 	 NA 	 1
 2 	 19 	 12.51234 	 0.6006835 	 0.3260775 	 0.3260775 	 243 	 F 	 0 	 2 	 NA 	 NA 	 1
 2 	 23 	 11.64128 	 -0.08375261 	 0.4570484 	 0.4570484 	 259 	 F 	 0 	 2 	 NA 	 NA 	 1
 2 	 27 	 10.06151 	 0.01152412 	 -1.091165 	 -1.091165 	 121 	 F 	 0 	 2 	 NA 	 NA 	 1
 2 	 8 	 11.82869 	 0.5856651 	 0.3605978 	 0.3605978 	 266 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 12 	 8.959722 	 -0.5150228 	 0.9468368 	 0.9468368 	 268 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 15 	 10.07969 	 -0.1694412 	 -0.6731624 	 -0.6731624 	 161 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 18 	 11.32591 	 -0.5008335 	 0.1654612 	 0.1654612 	 220 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 21 	 13.25711 	 1.040085 	 1.251261 	 1.251261 	 297 	 M 	 0 	 1 	 NA 	 NA 	 0
 2 	 25 	 12.39508 	 0.7610972 	 0.6108763 	 0.6108763 	 252 	 F 	 0 	 1 	 NA 	 NA 	 0
 2 	 28 	 9.629717 	 -0.5122404 	 0.7379593 	 0.7379593 	 266 	 M 	 0 	 1 	 NA 	 NA 	 0
 3 	 1 	 9.568245 	 -0.4426535 	 -0.2575329 	 -0.2575329 	 501 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 2 	 10.15558 	 0.8945415 	 -0.05201417 	 -0.05201417 	 581 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 5 	 11.15087 	 -0.5491955 	 0.273788 	 0.273788 	 683 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 10 	 10.37807 	 -0.007858813 	 0.4918947 	 0.4918947 	 728 	 M 	 0 	 3 	 NA 	 NA 	 1
 3 	 23 	 11.85646 	 -0.08375261 	 0.4570484 	 0.4570484 	 732 	 F 	 0 	 3 	 NA 	 NA 	 1
 3 	 9 	 11.07656 	 0.7968219 	 0.9033789 	 0.9033789 	 827 	 F 	 0 	 2 	 NA 	 NA 	 0
 3 	 17 	 10.60951 	 0.0841954 	 -0.2293684 	 -0.2293684 	 526 	 M 	 0 	 2 	 NA 	 NA 	 0
 3 	 19 	 12.51234 	 0.6006835 	 0.3260775 	 0.3260775 	 697 	 F 	 0 	 2 	 NA 	 NA 	 0
