t	ID	z	bvs	hunting	bvh	C	s	ARS	age	p1	p2	phi
 1 	 2 	 11.78662 	 0.816478 	 -0.2092284 	 -0.2092284 	 195 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 3 	 10.22194 	 -0.05576878 	 -0.005976433 	 -0.005976433 	 228 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 4 	 10.26902 	 0.036767 	 0.2063479 	 0.2063479 	 202 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 10 	 9.587175 	 -0.6288512 	 0.6593955 	 0.6593955 	 216 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 11 	 9.765021 	 -0.696162 	 0.1076638 	 0.1076638 	 202 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 13 	 10.56265 	 -0.02715043 	 0.1767062 	 0.1767062 	 221 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 14 	 10.99818 	 0.05018382 	 -0.007858746 	 -0.007858746 	 185 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 19 	 10.66093 	 0.3235831 	 0.3977584 	 0.3977584 	 193 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 20 	 9.900637 	 -0.06197603 	 -0.7755205 	 -0.7755205 	 152 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 23 	 11.41919 	 0.7494461 	 -0.215337 	 -0.215337 	 197 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 24 	 11.47762 	 0.7264545 	 0.07801184 	 0.07801184 	 182 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 25 	 10.34233 	 0.1498562 	 -0.6249759 	 -0.6249759 	 144 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 26 	 11.45701 	 0.8491125 	 0.3561431 	 0.3561431 	 207 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 28 	 10.52025 	 -0.01895058 	 -0.1772821 	 -0.1772821 	 182 	 F 	 0 	 1 	 NA 	 NA 	 1
 1 	 30 	 10.01438 	 -0.03399919 	 -1.549133 	 -1.549133 	 94 	 M 	 0 	 1 	 NA 	 NA 	 1
 1 	 1 	 9.332241 	 -0.6677587 	 0.6372844 	 0.6372844 	 235 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 5 	 10.09222 	 0.092219 	 -1.167614 	 -1.167614 	 136 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 6 	 9.329437 	 -0.6705633 	 -0.003082512 	 -0.003082512 	 182 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 7 	 9.407899 	 -0.5921012 	 0.1885978 	 0.1885978 	 195 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 8 	 10.2687 	 0.2686985 	 -0.6983495 	 -0.6983495 	 137 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 9 	 10.57916 	 0.5791578 	 0.3456866 	 0.3456866 	 233 	 F 	 0 	 0 	 NA 	 NA 	 0
 1 	 12 	 10.47054 	 0.4705407 	 -0.5849721 	 -0.5849721 	 176 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 15 	 9.774543 	 -0.2254569 	 -0.4284675 	 -0.4284675 	 171 	 M 	 0 	 0 	 NA 	 NA 	 0
 1 	 16 	 9.211389 	 -0.7886112 	 0.1271965 	 0.1271965 	 198 	 F 	 0 	 0 	 NA 	 NA 	 0
