"","rep","SS1","SS2","fs1","fs2","cs","sdc","seed","genseed","filename"
"1",1,0,0,0.1,-0.01,0.1,1000,8,789,"Data/Test4/pop_seed_8genseed_789SS1_0_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"2",1,1,0,0.1,-0.01,0.1,1000,47,789,"Data/Test4/pop_seed_47genseed_789SS1_10_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"3",1,2,0,0.1,-0.01,0.1,1000,31,789,"Data/Test4/pop_seed_31genseed_789SS1_20_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"4",1,3,0,0.1,-0.01,0.1,1000,16,789,"Data/Test4/pop_seed_16genseed_789SS1_30_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"5",1,4,0,0.1,-0.01,0.1,1000,32,789,"Data/Test4/pop_seed_32genseed_789SS1_40_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"6",1,5,0,0.1,-0.01,0.1,1000,51,789,"Data/Test4/pop_seed_51genseed_789SS1_50_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"7",1,6,0,0.1,-0.01,0.1,1000,35,789,"Data/Test4/pop_seed_35genseed_789SS1_60_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"8",1,7,0,0.1,-0.01,0.1,1000,14,789,"Data/Test4/pop_seed_14genseed_789SS1_70_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"9",1,8,0,0.1,-0.01,0.1,1000,40,789,"Data/Test4/pop_seed_40genseed_789SS1_80_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"10",1,9,0,0.1,-0.01,0.1,1000,17,789,"Data/Test4/pop_seed_17genseed_789SS1_90_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"11",1,10,0,0.1,-0.01,0.1,1000,18,789,"Data/Test4/pop_seed_18genseed_789SS1_100_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"12",1,11,0,0.1,-0.01,0.1,1000,2,789,"Data/Test4/pop_seed_2genseed_789SS1_110_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"13",1,12,0,0.1,-0.01,0.1,1000,20,789,"Data/Test4/pop_seed_20genseed_789SS1_120_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"14",1,13,0,0.1,-0.01,0.1,1000,12,789,"Data/Test4/pop_seed_12genseed_789SS1_130_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"15",1,14,0,0.1,-0.01,0.1,1000,33,789,"Data/Test4/pop_seed_33genseed_789SS1_140_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"16",1,15,0,0.1,-0.01,0.1,1000,1,789,"Data/Test4/pop_seed_1genseed_789SS1_150_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"17",1,16,0,0.1,-0.01,0.1,1000,26,789,"Data/Test4/pop_seed_26genseed_789SS1_160_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"18",1,17,0,0.1,-0.01,0.1,1000,41,789,"Data/Test4/pop_seed_41genseed_789SS1_170_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"19",1,18,0,0.1,-0.01,0.1,1000,39,789,"Data/Test4/pop_seed_39genseed_789SS1_180_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"20",1,19,0,0.1,-0.01,0.1,1000,4,789,"Data/Test4/pop_seed_4genseed_789SS1_190_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"21",1,20,0,0.1,-0.01,0.1,1000,11,789,"Data/Test4/pop_seed_11genseed_789SS1_200_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"22",1,21,0,0.1,-0.01,0.1,1000,3,789,"Data/Test4/pop_seed_3genseed_789SS1_210_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
"23",1,22,0,0.1,-0.01,0.1,1000,42,789,"Data/Test4/pop_seed_42genseed_789SS1_220_SS2_0_FS1_1_FS2_-1_CAMSEL_1_SDCAM_1000.csv"
